"REF_DATE","GEO","DGUID","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2023/2024","Canada","2021A000011124","Men+","25 to 29 years","Persons","249","units","0","v470920","1.1.38","1705","","","","0"
"2024/2025","Canada","2021A000011124","Men+","25 to 29 years","Persons","249","units","0","v470920","1.1.38","1753","","","","0"
"2000/2001","Canada","2021A000011124","Men+","30 to 34 years","Persons","249","units","0","v470941","1.1.44","1149","","","","0"
"2001/2002","Canada","2021A000011124","Men+","30 to 34 years","Persons","249","units","0","v470941","1.1.44","1128","","","","0"
"2002/2003","Canada","2021A000011124","Men+","30 to 34 years","Persons","249","units","0","v470941","1.1.44","1051","","","","0"
"2003/2004","Canada","2021A000011124","Men+","30 to 34 years","Persons","249","units","0","v470941","1.1.44","1056","","","","0"
"2004/2005","Canada","2021A000011124","Men+","30 to 34 years","Persons","249","units","0","v470941","1.1.44","1081","","","","0"
"2005/2006","Canada","2021A000011124","Men+","30 to 34 years","Persons","249","units","0","v470941","1.1.44","1030","","","","0"
"2006/2007","Canada","2021A000011124","Men+","30 to 34 years","Persons","249","units","0","v470941","1.1.44","1012","","","","0"
"2007/2008","Canada","2021A000011124","Men+","30 to 34 years","Persons","249","units","0","v470941","1.1.44","915","","","","0"
"2008/2009","Canada","2021A000011124","Men+","30 to 34 years","Persons","249","units","0","v470941","1.1.44","951","","","","0"
"2009/2010","Canada","2021A000011124","Men+","30 to 34 years","Persons","249","units","0","v470941","1.1.44","973","","","","0"
"2010/2011","Canada","2021A000011124","Men+","30 to 34 years","Persons","249","units","0","v470941","1.1.44","966","","","","0"
"2011/2012","Canada","2021A000011124","Men+","30 to 34 years","Persons","249","units","0","v470941","1.1.44","944","","","","0"
"2012/2013","Canada","2021A000011124","Men+","30 to 34 years","Persons","249","units","0","v470941","1.1.44","1013","","","","0"
"2013/2014","Canada","2021A000011124","Men+","30 to 34 years","Persons","249","units","0","v470941","1.1.44","1037","","","","0"
"2014/2015","Canada","2021A000011124","Men+","30 to 34 years","Persons","249","units","0","v470941","1.1.44","1120","","","","0"
"2015/2016","Canada","2021A000011124","Men+","30 to 34 years","Persons","249","units","0","v470941","1.1.44","1215","","","","0"
"2016/2017","Canada","2021A000011124","Men+","30 to 34 years","Persons","249","units","0","v470941","1.1.44","1380","","","","0"
"2017/2018","Canada","2021A000011124","Men+","30 to 34 years","Persons","249","units","0","v470941","1.1.44","1486","","","","0"
"2018/2019","Canada","2021A000011124","Men+","30 to 34 years","Persons","249","units","0","v470941","1.1.44","1469","","","","0"
"2019/2020","Canada","2021A000011124","Men+","30 to 34 years","Persons","249","units","0","v470941","1.1.44","1551","","","","0"
"2020/2021","Canada","2021A000011124","Men+","30 to 34 years","Persons","249","units","0","v470941","1.1.44","1948","","","","0"
