"REF_DATE","GEO","DGUID","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2003","Canada","2021A000011124","Men+","10 to 14 years","Persons","249","units","0","v466717","1.2.19","1095933","","","","0"
"2004","Canada","2021A000011124","Men+","10 to 14 years","Persons","249","units","0","v466717","1.2.19","1096583","","","","0"
"2005","Canada","2021A000011124","Men+","10 to 14 years","Persons","249","units","0","v466717","1.2.19","1086782","","","","0"
"2006","Canada","2021A000011124","Men+","10 to 14 years","Persons","249","units","0","v466717","1.2.19","1070984","","","","0"
"2007","Canada","2021A000011124","Men+","10 to 14 years","Persons","249","units","0","v466717","1.2.19","1058047","","","","0"
"2008","Canada","2021A000011124","Men+","10 to 14 years","Persons","249","units","0","v466717","1.2.19","1042277","","","","0"
"2009","Canada","2021A000011124","Men+","10 to 14 years","Persons","249","units","0","v466717","1.2.19","1025019","","","","0"
"2010","Canada","2021A000011124","Men+","10 to 14 years","Persons","249","units","0","v466717","1.2.19","1006194","","","","0"
"2011","Canada","2021A000011124","Men+","10 to 14 years","Persons","249","units","0","v466717","1.2.19","986443","","","","0"
"2012","Canada","2021A000011124","Men+","10 to 14 years","Persons","249","units","0","v466717","1.2.19","974518","","","","0"
"2013","Canada","2021A000011124","Men+","10 to 14 years","Persons","249","units","0","v466717","1.2.19","969236","","","","0"
"2014","Canada","2021A000011124","Men+","10 to 14 years","Persons","249","units","0","v466717","1.2.19","970656","","","","0"
"2015","Canada","2021A000011124","Men+","10 to 14 years","Persons","249","units","0","v466717","1.2.19","969067","","","","0"
"2016","Canada","2021A000011124","Men+","10 to 14 years","Persons","249","units","0","v466717","1.2.19","978944","","","","0"
"2017","Canada","2021A000011124","Men+","10 to 14 years","Persons","249","units","0","v466717","1.2.19","996906","","","","0"
"2018","Canada","2021A000011124","Men+","10 to 14 years","Persons","249","units","0","v466717","1.2.19","1024603","","","","0"
