"REF_DATE","GEO","DGUID","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 30 to 34 years","Rate","257","units","0","v21400971","1.4","105.8","","","","1"
"2020","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 30 to 34 years","Rate","257","units","0","v21400971","1.4","101.7","","","","1"
"2021","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 30 to 34 years","Rate","257","units","0","v21400971","1.4","107.0","","","","1"
"2022","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 30 to 34 years","Rate","257","units","0","v21400971","1.4","98.5","","","","1"
"2023","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 30 to 34 years","Rate","257","units","0","v21400971","1.4","93.4","","","","1"
"2024","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 30 to 34 years","Rate","257","units","0","v21400971","1.4","92.8","","","","1"
"2000","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 35 to 39 years","Rate","257","units","0","v21400972","1.5","33.8","","","","1"
"2001","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 35 to 39 years","Rate","257","units","0","v21400972","1.5","35.5","","","","1"
"2002","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 35 to 39 years","Rate","257","units","0","v21400972","1.5","36.1","","","","1"
"2003","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 35 to 39 years","Rate","257","units","0","v21400972","1.5","38.6","","","","1"
"2004","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 35 to 39 years","Rate","257","units","0","v21400972","1.5","40.4","","","","1"
"2005","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 35 to 39 years","Rate","257","units","0","v21400972","1.5","42.8","","","","1"
"2006","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 35 to 39 years","Rate","257","units","0","v21400972","1.5","45.9","","","","1"
"2007","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 35 to 39 years","Rate","257","units","0","v21400972","1.5","48.6","","","","1"
"2008","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 35 to 39 years","Rate","257","units","0","v21400972","1.5","50.4","","","","1"
"2009","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 35 to 39 years","Rate","257","units","0","v21400972","1.5","50.8","","","","1"
"2010","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 35 to 39 years","Rate","257","units","0","v21400972","1.5","51.7","","","","1"
"2011","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 35 to 39 years","Rate","257","units","0","v21400972","1.5","52.4","","","","1"
"2012","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 35 to 39 years","Rate","257","units","0","v21400972","1.5","53.4","","","","1"
"2013","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 35 to 39 years","Rate","257","units","0","v21400972","1.5","53.7","","","","1"
"2014","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 35 to 39 years","Rate","257","units","0","v21400972","1.5","54.7","","","","1"
"2015","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 35 to 39 years","Rate","257","units","0","v21400972","1.5","55.7","","","","1"
"2016","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 35 to 39 years","Rate","257","units","0","v21400972","1.5","56.7","","","","1"
"2017","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 35 to 39 years","Rate","257","units","0","v21400972","1.5","57.3","","","","1"
"2018","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 35 to 39 years","Rate","257","units","0","v21400972","1.5","57.6","","","","1"
"2019","Canada, place of residence of mother","2021A000011124","Age-specific fertility rate, females 35 to 39 years","Rate","257","units","0","v21400972","1.5","57.8","","","","1"
